"ID","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12913","count.12911","count.12912","count.19113","count.19911","count.19912","count.19913","count.39111","count.39112","count.39113","count.39911","count.39912","count.39913","count.19111","count.19112","count.19993","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.99111","count.99112","count.99113","NUTS_ID"
1,5391,7823,47834,43134,51682,333029,10516,14700,107948,43342,86673,466959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEA3"
2,328,53,12442,0,0,0,14593,33761,255435,172,909,4419,320,14,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DE94"
3,0,0,0,0,0,0,22591,52197,84852,3816,8891,12043,1154,1100,11885,23558,39071,128753,2449,6516,14409,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEA1"
4,0,0,0,0,0,0,593511,1298692,1449632,91712,244159,349494,18489,21211,106459,65783,102902,145377,2686,705,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL13"
5,180,0,768,0,0,0,3527912,8433804,9305843,412180,1219049,1584502,114060,117990,717081,49224,81332,168828,8812,22870,11998,102020,10535,2317,58,3379,676,89614,5368,6373,8258,4489,2458,34393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL21"
6,65,0,58,1106,2642,4083,3079716,7249410,13998680,1562296,3917989,5282181,135945,214930,1184961,633126,848219,5085733,76137,132529,770427,419774,60353,55852,3696,2110,367,53668,1366,429,7104,1531,759,105721,787,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL22"
7,0,0,0,0,0,0,129233,280854,1567795,839,4902,4259,12565,13236,80416,520436,836721,7039707,3759,5685,13056,591683,56186,99792,34862,6380,9816,620503,5854,5726,45450,5874,4114,380085,4007,11182,82819,73432,25582,289841,20835,14337,311595,5018,791,558772,8613,73,3978635,0,0,0,"NL23"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3934,3114,704,0,0,0,1045,840,677,8559,1106,368,48817,0,0,0,0,0,0,746,758,0,9219,7678,53742,907,1505,13492,1185,321,103036,13,0,116033,223,113,3125,"NL32"
9,0,0,0,0,0,0,324682,937813,1775161,66034,252342,406755,15878,22148,156597,31694,108433,229989,431,1813,11616,42679,1127,1126,1000,0,0,45293,134,61,1342,152,28,11529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL35"
10,0,0,0,0,0,0,2885,2625,6023,0,0,0,132,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL41"
